lintang_selatan,bujur_timur,wilayah,kecamatan,nama_lokasi,Besi,E_Coli,IP,Krom_heks,Mangan,Nitrat,Nitrit,Organik,Surfaktan,Total_colif,Warna
-6.067667,106.9245,Jakarta Utara,Cilincing,Kali Baru,0.1,200,18.66472429,0.003,0.98,1,0.01,5.62,0.03,12000,29
-6.075944444,106.9385556,Jakarta Utara,Cilincing,Cilincing,0.05,0,24.29662024,0.0015,0.12,0.27,0.01,NA,NA,4200,1
-6.075944444,106.938556,Jakarta Utara,Cilincing,Cilincing,0.07,0,15.25209299,0.003,0.12,2.3,0.01,2.03,0.03,1300,9
-6.098003,106.714088,Jakarta Utara,Penjaringan,Kamal Muara,1.89,0,15.98845965,0.003,10.17,0.8,0.07,22.47,0.03,2100,160
-6.104386,106.706039,Jakarta Barat,Kalideres,Kamal,0.06,0,18.53095076,0.0015,0.015,2.5,0.005,8.4,0.04,100,5
-6.105467,106.768295,Jakarta Utara,Penjaringan,Pluit,0.11,28000,21.23505294,0.003,2.18,1.6,0.06,30.5,0.03,64000,24
-6.1129194,106.875053,Jakarta Utara,Tanjung Priok,Papanggo,0.51,300,16.72830414,0.003,0.49,1.4,0.03,18.39,0.04,3400,51
-6.114722,106.886581,Jakarta Utara,Tanjung Priok,Kebon Bawang,0.03,3000,21.61559617,0.003,0.93,3.8,0.03,20.57,0.03,82000,51
-6.115133,106.898834,Jakarta Utara,Koja,Rawa Badak Utara,0.34,400,18.90141694,0.003,0.37,1,0.08,13.26,0.03,14000,27
-6.1160778,106.845802,Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,0.03,0,1.494528416,0.003,0.03,2.4,0.01,2.03,0.14,0,1
-6.1176053,106.9085437,Jakarta Utara,Koja,Lagoa,0.08,200,24.82869112,0.007,0.07,0.27,0.01,NA,NA,4500,49
-6.1176053,106.908544,Jakarta Utara,Koja,Lagoa,0.04,0,16.63521728,0.003,0.09,2.7,0.01,15.85,0.24,3200,30
-6.118083,106.872414,Jakarta Utara,Tanjung Priok,Tanjung Priok,0.67,0,17.0527614,0.003,1.94,0.9,0.01,21.56,0.03,4200,98
-6.11835,106.719971,Jakarta Barat,Kalideres,Tegal Alur,0.015,0,24.33955616,0.0015,0.015,0.27,0.05,2.03,0.13,4300,9
-6.118903,106.882568,Jakarta Utara,Tanjung Priok,Sungai Bambu,0.78,0,11.3137085,0.003,1.44,1.3,0.01,7.53,0.26,100,38
-6.122472,106.95961,Jakarta Utara,Cilincing,Marunda,0.03,0,16.12814343,0.003,0.03,2,0.01,6.65,0.03,2300,1
-6.12352,106.91125,Jakarta Utara,Koja,Tugu Utara,0.12,0,2.008101182,0.003,0.09,3.2,0.12,7.92,0.12,0,20
-6.125639,106.881531,Jakarta Utara,Tanjung Priok,Warakas,0.04,230000,24.92996297,0.003,0.63,1.5,0.02,13.47,0.08,710000,14
-6.127217,106.897442,Jakarta Utara,Koja,Rawa Badak Selatan,0.28,7000,20.47450527,0.003,3.36,1.2,0.12,7.2,0.03,39000,29
-6.13,106.875,Jakarta Utara,Koja,Koja,0.38,100,12.37801026,0.003,2.18,1.7,0.02,2.03,0.05,200,24
-6.13,108.02,Jakarta Utara,Pademangan,Ancol,0.25,0,15.365883030000001,0.003,0.52,2.1,0.01,8.23,0.06,1400,11
-6.130444,106.759972,Jakarta Utara,Penjaringan,Kapuk Muara,0.15,0,3.759414025,0.003,0.73,3.1,0.07,8.13,0.03,0,25
-6.130861,106.940056,Jakarta Utara,Cilincing,Semper Timur,0.38,0,14.68746525,0.003,3.56,1.1,0.15,10.73,0.04,900,16
-6.130931,106.907678,Jakarta Utara,Koja,Tugu Selatan,0.85,21000,21.11014973,0.003,0.91,2.9,0.02,15.1,0.03,59000,47
-6.13112,106.746124,Jakarta Barat,Cengkareng,Kapuk,0.03,0,16.31639475,0.003,2.21,2.4,0.13,8.84,0.03,2600,7
-6.132,106.807,Jakarta Barat,Tambora,Roa Malaka,1.04,0,13.00058687,0.003,0.74,2.6,0.03,7.11,0.08,300,31
-6.133,106.841,Jakarta Utara,Pademangan,Pademangan Timur,1.76,21000,21.74137687,0.003,1.14,4.9,0.15,29.75,0.03,89000,70
-6.133056,106.842499,Jakarta Utara,Pademangan,Pademangan Timur,0.18,1800,17.57461583,0.003,0.58,5,0.12,22.45,0.15,5900,45
-6.133093,160.796509,Jakarta Utara,Penjaringan,Penjaringan,0.08,1400,18.28976893,0.003,0.04,4.6,0.07,9.89,0.03,9400,15
-6.1332,106.79068,Jakarta Utara,Penjaringan,Pejagalan,0.76,100,15.12919039,0.003,1.8,1.1,0.07,32.14,0.03,1200,164
-6.133283,106.710564,Jakarta Barat,Kalideres,Pegadungan,1.9,0,20.59652078,0.0015,8.04,0.27,0.01,13.29,0.15,300,183
-6.134694444,106.9252778,Jakarta Utara,Cilincing,Semper Barat,0.05,4000,27.85188866,0.0015,0.3,1.4,0.02,NA,NA,29000,40
-6.134694444,106.925278,Jakarta Utara,Cilincing,Semper Barat,0.26,0,16.58646833,0.003,1.78,1.3,0.01,8.16,0.03,3100,25
-6.1375,106.859444,Jakarta Utara,Tanjung Priok,Sunter Agung,0.04,0,0.707106781,0.003,0.03,2.5,0.01,8.27,0.04,0,1
-6.138,106.827,Jakarta Pusat,Sawah Besar,Mangga Dua Selatan,2.06,200,12.37801026,0.003,0.76,3.8,0.01,9.51,0.03,200,46
-6.139478,106.800934,Jakarta Barat,Tambora,Pekojan,0.44,18000,20.58829531,0.003,0.03,3.7,0.02,5.81,0.04,42000,33
-6.142,106.788,Jakarta Barat,Grogol Petamburan,Jelambar Baru,0.07,200,14.99558765,0.003,0.17,4.8,0.1,4.26,0.03,1100,43
-6.143111,106.690941,Jakarta Barat,Kalideres,Kalideres,0.015,0,19.58890641,0.0015,0.015,2.5,0.005,4.93,0.18,200,11
-6.143692,106.800125,Jakarta Barat,Tambora,Angke,0.03,0,18.30601736,0.003,0.03,3.9,0.01,9.01,0.03,9500,86
-6.145197,106.733177,Jakarta Barat,Cengkareng,Cengkareng Timur,0.03,0,2.79683574,0.003,0.23,2.6,0.06,2.03,0.07,0,1
-6.1455,106.814331,Jakarta Barat,Tamansari,Glodok,0.03,0,13.00058687,0.003,0.23,1.8,0.05,5.18,0.03,300,14
-6.146514,106.803123,Jakarta Barat,Tambora,Jembatan Lima,0.03,900,18.66472429,0.003,0.06,11.3,0.05,7.06,0.03,12000,13
-6.146692,106.808449,Jakarta Barat,Tambora,Tambora,0.17,1100,16.12814343,0.003,1.76,7.9,0.05,6.77,0.03,2300,10
-6.146731,106.822548,Jakarta Barat,Tamansari,Tangki,1.62,0,5.521541716,0.003,2.3,0.9,0.02,3.83,0.03,0,86
-6.147533,106.819328,Jakarta Barat,Tamansari,Mangga Besar,0.2,0,4.057945746,0.003,0.03,1.4,0.01,5.71,0.09,0,30
-6.148972,106.958305,Jakarta Utara,Cilincing,Rorotan,0.03,0,11.3137085,0.003,0.07,0.6,0.03,8.69,0.03,100,21
-6.149553,106.72213,Jakarta Barat,Cengkareng,Cengkareng Barat,0.03,0,1.609631378,0.003,0.18,3.4,0.61,2.03,0.09,0,3
-6.1506,106.832,Jakarta Barat,Tamansari,Taman Sari,0.03,0,17.60042253,0.003,0.58,1.7,0.09,4.11,0.03,6000,5
-6.150889,106.815056,Jakarta Barat,Tamansari,Keagungan,1.1,3200,18.15319336,0.003,0.43,5.4,0.37,6.14,0.06,8600,29
-6.151817,106.801064,Jakarta Barat,Tambora,Krendang,1.56,44000,21.49892263,0.003,0.08,0.6,0.01,6.81,0.06,76000,70
-6.152728,106.797699,Jakarta Barat,Tambora,Jembatan Besi,0.03,500,17.2577939,0.003,0.09,1.7,0.02,2.26,0.05,4800,4
-6.153,106.838,Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,0.03,200,14.30158127,0.003,0.09,1.7,0.09,7.32,0.06,700,16
-6.153167,106.831779,Jakarta Pusat,Sawah Besar,Kartini,0.08,0,2.334854703,0.003,0.07,1.2,0.01,4.57,0.15,0,1
-6.153556,106.858253,Jakarta Pusat,Kemayoran,Kebon Kosong,0.03,0,3.974927536,0.003,0.07,1.3,0.01,7.04,0.12,0,5
-6.153611,106.76223,Jakarta Barat,Cengkareng,Kedaung Kali Angke,1.38,0,4.470534094,0.003,0.58,1.2,0.02,4.05,0.03,0,116
-6.153694,106.772514,Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,0.03,0,17.43864538,0.003,0.03,2.6,0.01,3.11,0.04,5400,3
-6.153989,106.819168,Jakarta Barat,Tamansari,Maphar,0.03,0,1.428779901,0.003,0.16,1.3,0.01,2.03,0.05,0,2
